t(s),r(km),v(km/s)
234,8500.22,6.01611
235,8506.23,6.0106
236,8512.24,6.0051
237,8518.24,5.9996
238,8524.24,5.99411
239,8530.23,5.98863
240,8536.21,5.98315
241,8542.2,5.97769
242,8548.17,5.97223
243,8554.14,5.96678
244,8560.1,5.96133
245,8566.06,5.9559
246,8572.02,5.95047
247,8577.96,5.94505
248,8583.91,5.93964
249,8589.84,5.93423
250,8595.77,5.92883
251,8601.7,5.92344
252,8607.62,5.91806
253,8613.54,5.91268
254,8619.45,5.90731
255,8625.35,5.90195
256,8631.25,5.8966
257,8637.14,5.89125
258,8643.03,5.88591
259,8648.92,5.88058
260,8654.79,5.87526
261,8660.67,5.86994
262,8666.53,5.86463
263,8672.4,5.85932
264,8678.25,5.85403
265,8684.1,5.84874
266,8689.95,5.84346
267,8695.79,5.83818
268,8701.63,5.83292
269,8707.46,5.82766
270,8713.28,5.8224
271,8719.1,5.81716
272,8724.92,5.81192
273,8730.73,5.80668
274,8736.53,5.80146
275,8742.33,5.79624
276,8748.12,5.79103
277,8753.91,5.78582
278,8759.69,5.78062
279,8765.47,5.77543
280,8771.24,5.77025
281,8777.01,5.76507
282,8782.77,5.7599
283,8788.53,5.75474
284,8794.28,5.74958
285,8800.03,5.74443
286,8805.77,5.73929
287,8811.51,5.73415
288,8817.24,5.72902
289,8822.97,5.7239
290,8828.69,5.71878
291,8834.41,5.71367
292,8840.12,5.70857
293,8845.82,5.70347
294,8851.52,5.69838
295,8857.22,5.69329
296,8862.91,5.68822
297,8868.6,5.68314
298,8874.28,5.67808
299,8879.95,5.67302
300,8885.62,5.66797
301,8891.29,5.66293
302,8896.95,5.65789
303,8902.6,5.65285
304,8908.25,5.64783
305,8913.9,5.64281
306,8919.54,5.6378
307,8925.17,5.63279
308,8930.8,5.62779
309,8936.43,5.62279
310,8942.05,5.61781
311,8947.67,5.61283
312,8953.28,5.60785
313,8958.88,5.60288
314,8964.48,5.59792
315,8970.08,5.59296
316,8975.67,5.58801
317,8981.25,5.58307
318,8986.83,5.57813
319,8992.41,5.5732
320,8997.98,5.56827
321,9003.55,5.56335
322,9009.11,5.55844
323,9014.66,5.55353
324,9020.21,5.54863
325,9025.76,5.54373
326,9031.3,5.53884
327,9036.84,5.53396
328,9042.37,5.52908
329,9047.9,5.52421
330,9053.42,5.51934
331,9058.93,5.51448
332,9064.45,5.50963
333,9069.95,5.50478
334,9075.46,5.49994
335,9080.95,5.4951
336,9086.45,5.49027
337,9091.93,5.48545
338,9097.42,5.48063
339,9102.9,5.47581
340,9108.37,5.47101
341,9113.84,5.4662
342,9119.3,5.46141
343,9124.76,5.45662
344,9130.21,5.45183
345,9135.66,5.44706
346,9141.11,5.44228
347,9146.55,5.43752
348,9151.98,5.43275
349,9157.41,5.428
350,9162.84,5.42325
351,9168.26,5.4185
352,9173.68,5.41376
353,9179.09,5.40903
354,9184.49,5.4043
355,9189.9,5.39958
356,9195.29,5.39486
357,9200.69,5.39015
358,9206.07,5.38545
359,9211.46,5.38075
360,9216.84,5.37605
361,9222.21,5.37136
362,9227.58,5.36668
363,9232.94,5.362
364,9238.3,5.35733
365,9243.66,5.35266
366,9249.01,5.348
367,9254.35,5.34334
368,9259.69,5.33869
369,9265.03,5.33404
370,9270.36,5.3294
371,9275.69,5.32477
372,9281.01,5.32014
373,9286.33,5.31551
374,9291.64,5.31089
375,9296.95,5.30628
376,9302.26,5.30167
377,9307.56,5.29707
378,9312.85,5.29247
379,9318.14,5.28788
380,9323.43,5.28329
381,9328.71,5.27871
382,9333.98,5.27413
383,9339.26,5.26956
384,9344.52,5.26499
385,9349.78,5.26043
386,9355.04,5.25587
387,9360.3,5.25132
388,9365.55,5.24677
389,9370.79,5.24223
390,9376.03,5.23769
391,9381.27,5.23316
392,9386.5,5.22864
393,9391.72,5.22411
394,9396.94,5.2196
395,9402.16,5.21509
396,9407.37,5.21058
397,9412.58,5.20608
398,9417.79,5.20158
399,9422.99,5.19709
400,9428.18,5.1926
401,9433.37,5.18812
402,9438.56,5.18365
403,9443.74,5.17918
404,9448.92,5.17471
405,9454.09,5.17025
406,9459.26,5.16579
407,9464.42,5.16134
408,9469.58,5.15689
409,9474.73,5.15245
410,9479.88,5.14801
411,9485.03,5.14358
412,9490.17,5.13915
413,9495.31,5.13473
414,9500.44,5.13031
415,9505.57,5.12589
416,9510.69,5.12149
417,9515.81,5.11708
418,9520.93,5.11268
419,9526.04,5.10829
420,9531.14,5.1039
421,9536.24,5.09951
422,9541.34,5.09513
423,9546.44,5.09076
424,9551.52,5.08638
425,9556.61,5.08202
426,9561.69,5.07766
427,9566.76,5.0733
428,9571.83,5.06895
429,9576.9,5.0646
430,9581.96,5.06025
431,9587.02,5.05591
432,9592.08,5.05158
433,9597.12,5.04725
434,9602.17,5.04293
435,9607.21,5.0386
436,9612.25,5.03429
437,9617.28,5.02998
438,9622.31,5.02567
439,9627.33,5.02137
440,9632.35,5.01707
441,9637.36,5.01278
442,9642.38,5.00849
443,9647.38,5.0042
444,9652.38,4.99992
445,9657.38,4.99565
446,9662.37,4.99137
447,9667.36,4.98711
448,9672.35,4.98284
449,9677.33,4.97859
450,9682.31,4.97433
451,9687.28,4.97008
452,9692.25,4.96584
453,9697.21,4.9616
454,9702.17,4.95736
455,9707.12,4.95313
456,9712.08,4.9489
457,9717.02,4.94468
458,9721.97,4.94046
459,9726.9,4.93624
460,9731.84,4.93203
461,9736.77,4.92783
462,9741.69,4.92362
463,9746.62,4.91943
464,9751.53,4.91523
465,9756.45,4.91104
466,9761.35,4.90686
467,9766.26,4.90268
468,9771.16,4.8985
469,9776.06,4.89433
470,9780.95,4.89016
471,9785.84,4.88599
472,9790.72,4.88183
473,9795.6,4.87768
474,9800.48,4.87353
475,9805.35,4.86938
476,9810.21,4.86524
477,9815.08,4.8611
478,9819.94,4.85696
479,9824.79,4.85283
480,9829.64,4.8487
481,9834.49,4.84458
482,9839.33,4.84046
483,9844.17,4.83634
484,9849,4.83223
485,9853.83,4.82813
486,9858.66,4.82402
487,9863.48,4.81993
488,9868.3,4.81583
489,9873.11,4.81174
490,9877.92,4.80765
491,9882.73,4.80357
492,9887.53,4.79949
493,9892.33,4.79542
494,9897.12,4.79134
495,9901.91,4.78728
496,9906.7,4.78321
497,9911.48,4.77915
498,9916.25,4.7751
499,9921.03,4.77105
500,9925.8,4.767
501,9930.56,4.76296
502,9935.32,4.75892
503,9940.08,4.75488
504,9944.83,4.75085
505,9949.58,4.74682
506,9954.33,4.7428
507,9959.07,4.73878
508,9963.8,4.73476
509,9968.54,4.73075
510,9973.27,4.72674
511,9977.99,4.72273
512,9982.71,4.71873
513,9987.43,4.71473
514,9992.14,4.71074
515,9996.85,4.70675
516,10001.6,4.70276
517,10006.3,4.69878
518,10011,4.6948
519,10015.6,4.69082
520,10020.3,4.68685
521,10025,4.68289
522,10029.7,4.67892
523,10034.4,4.67496
524,10039,4.671
525,10043.7,4.66705
526,10048.4,4.6631
527,10053,4.65916
528,10057.7,4.65521
529,10062.4,4.65128
530,10067,4.64734
531,10071.6,4.64341
532,10076.3,4.63948
533,10080.9,4.63556
534,10085.6,4.63164
535,10090.2,4.62772
536,10094.8,4.62381
537,10099.4,4.6199
538,10104.1,4.61599
539,10108.7,4.61209
540,10113.3,4.60819
541,10117.9,4.6043
542,10122.5,4.60041
543,10127.1,4.59652
544,10131.7,4.59263
545,10136.3,4.58875
546,10140.9,4.58487
547,10145.4,4.581
548,10150,4.57713
549,10154.6,4.57326
550,10159.2,4.5694
551,10163.7,4.56554
552,10168.3,4.56168
553,10172.9,4.55783
554,10177.4,4.55398
555,10182,4.55013
556,10186.5,4.54629
557,10191.1,4.54245
558,10195.6,4.53861
559,10200.1,4.53478
