t(s),r(km),v(km/s)
1160,12327,2.66089
1161,12329.6,2.65827
1162,12332.3,2.65565
1163,12335,2.65303
1164,12337.6,2.65041
1165,12340.3,2.64779
1166,12342.9,2.64518
1167,12345.5,2.64256
1168,12348.2,2.63995
1169,12350.8,2.63733
1170,12353.5,2.63472
1171,12356.1,2.63211
1172,12358.7,2.6295
1173,12361.4,2.62689
1174,12364,2.62428
1175,12366.6,2.62168
1176,12369.2,2.61907
1177,12371.8,2.61647
1178,12374.5,2.61386
1179,12377.1,2.61126
1180,12379.7,2.60866
1181,12382.3,2.60606
1182,12384.9,2.60346
1183,12387.5,2.60086
1184,12390.1,2.59827
1185,12392.7,2.59567
1186,12395.3,2.59307
1187,12397.9,2.59048
1188,12400.5,2.58789
1189,12403.1,2.5853
1190,12405.6,2.58271
1191,12408.2,2.58012
1192,12410.8,2.57753
1193,12413.4,2.57494
1194,12415.9,2.57236
1195,12418.5,2.56977
1196,12421.1,2.56719
1197,12423.7,2.5646
1198,12426.2,2.56202
1199,12428.8,2.55944
1200,12431.3,2.55686
1201,12433.9,2.55428
1202,12436.4,2.55171
1203,12439,2.54913
1204,12441.5,2.54655
1205,12444.1,2.54398
1206,12446.6,2.54141
1207,12449.2,2.53883
1208,12451.7,2.53626
1209,12454.2,2.53369
1210,12456.8,2.53112
1211,12459.3,2.52856
1212,12461.8,2.52599
1213,12464.4,2.52342
1214,12466.9,2.52086
1215,12469.4,2.51829
1216,12471.9,2.51573
1217,12474.4,2.51317
1218,12476.9,2.51061
1219,12479.5,2.50805
1220,12482,2.50549
1221,12484.5,2.50293
1222,12487,2.50038
1223,12489.5,2.49782
1224,12492,2.49527
1225,12494.5,2.49271
1226,12496.9,2.49016
1227,12499.4,2.48761
1228,12501.9,2.48506
1229,12504.4,2.48251
1230,12506.9,2.47996
1231,12509.4,2.47741
1232,12511.8,2.47486
1233,12514.3,2.47232
1234,12516.8,2.46977
1235,12519.3,2.46723
1236,12521.7,2.46469
1237,12524.2,2.46215
1238,12526.6,2.45961
1239,12529.1,2.45707
1240,12531.6,2.45453
1241,12534,2.45199
1242,12536.5,2.44945
1243,12538.9,2.44692
1244,12541.4,2.44438
1245,12543.8,2.44185
1246,12546.2,2.43932
1247,12548.7,2.43679
1248,12551.1,2.43426
1249,12553.5,2.43173
1250,12556,2.4292
1251,12558.4,2.42667
1252,12560.8,2.42414
1253,12563.3,2.42162
1254,12565.7,2.41909
1255,12568.1,2.41657
1256,12570.5,2.41405
1257,12572.9,2.41152
1258,12575.3,2.409
1259,12577.7,2.40648
1260,12580.1,2.40397
1261,12582.5,2.40145
1262,12584.9,2.39893
1263,12587.3,2.39641
1264,12589.7,2.3939
1265,12592.1,2.39139
1266,12594.5,2.38887
1267,12596.9,2.38636
1268,12599.3,2.38385
1269,12601.7,2.38134
1270,12604.1,2.37883
1271,12606.4,2.37632
1272,12608.8,2.37381
1273,12611.2,2.37131
1274,12613.6,2.3688
1275,12615.9,2.3663
1276,12618.3,2.36379
1277,12620.6,2.36129
1278,12623,2.35879
1279,12625.4,2.35629
1280,12627.7,2.35379
1281,12630.1,2.35129
1282,12632.4,2.34879
1283,12634.8,2.34629
1284,12637.1,2.3438
1285,12639.5,2.3413
1286,12641.8,2.33881
1287,12644.1,2.33631
1288,12646.5,2.33382
1289,12648.8,2.33133
1290,12651.1,2.32884
1291,12653.5,2.32635
1292,12655.8,2.32386
1293,12658.1,2.32137
1294,12660.4,2.31888
1295,12662.7,2.3164
1296,12665.1,2.31391
1297,12667.4,2.31143
1298,12669.7,2.30895
1299,12672,2.30646
1300,12674.3,2.30398
1301,12676.6,2.3015
1302,12678.9,2.29902
1303,12681.2,2.29654
1304,12683.5,2.29406
1305,12685.8,2.29159
1306,12688.1,2.28911
1307,12690.4,2.28663
1308,12692.6,2.28416
1309,12694.9,2.28169
1310,12697.2,2.27921
1311,12699.5,2.27674
1312,12701.8,2.27427
1313,12704,2.2718
1314,12706.3,2.26933
1315,12708.6,2.26686
1316,12710.8,2.2644
1317,12713.1,2.26193
1318,12715.4,2.25946
1319,12717.6,2.257
1320,12719.9,2.25454
1321,12722.1,2.25207
1322,12724.4,2.24961
1323,12726.6,2.24715
1324,12728.9,2.24469
1325,12731.1,2.24223
1326,12733.4,2.23977
1327,12735.6,2.23731
1328,12737.8,2.23486
1329,12740.1,2.2324
1330,12742.3,2.22995
1331,12744.5,2.22749
1332,12746.8,2.22504
1333,12749,2.22259
1334,12751.2,2.22013
1335,12753.4,2.21768
1336,12755.6,2.21523
1337,12757.9,2.21278
1338,12760.1,2.21033
1339,12762.3,2.20789
1340,12764.5,2.20544
1341,12766.7,2.20299
1342,12768.9,2.20055
1343,12771.1,2.19811
1344,12773.3,2.19566
1345,12775.5,2.19322
1346,12777.7,2.19078
1347,12779.9,2.18834
1348,12782,2.1859
1349,12784.2,2.18346
1350,12786.4,2.18102
1351,12788.6,2.17858
1352,12790.8,2.17615
1353,12792.9,2.17371
1354,12795.1,2.17128
1355,12797.3,2.16884
1356,12799.5,2.16641
1357,12801.6,2.16398
1358,12803.8,2.16154
1359,12805.9,2.15911
1360,12808.1,2.15668
1361,12810.3,2.15425
1362,12812.4,2.15183
1363,12814.6,2.1494
1364,12816.7,2.14697
1365,12818.9,2.14455
1366,12821,2.14212
1367,12823.1,2.1397
1368,12825.3,2.13727
1369,12827.4,2.13485
1370,12829.5,2.13243
1371,12831.7,2.13001
1372,12833.8,2.12759
1373,12835.9,2.12517
1374,12838.1,2.12275
1375,12840.2,2.12033
1376,12842.3,2.11791
1377,12844.4,2.1155
1378,12846.5,2.11308
1379,12848.6,2.11067
1380,12850.8,2.10825
1381,12852.9,2.10584
1382,12855,2.10343
1383,12857.1,2.10102
1384,12859.2,2.09861
1385,12861.3,2.0962
1386,12863.4,2.09379
1387,12865.4,2.09138
1388,12867.5,2.08897
1389,12869.6,2.08656
1390,12871.7,2.08416
1391,12873.8,2.08175
1392,12875.9,2.07935
1393,12878,2.07694
1394,12880,2.07454
1395,12882.1,2.07214
1396,12884.2,2.06974
1397,12886.2,2.06734
1398,12888.3,2.06494
1399,12890.4,2.06254
1400,12892.4,2.06014
1401,12894.5,2.05774
1402,12896.5,2.05535
1403,12898.6,2.05295
1404,12900.7,2.05055
1405,12902.7,2.04816
1406,12904.8,2.04577
1407,12906.8,2.04337
1408,12908.8,2.04098
1409,12910.9,2.03859
1410,12912.9,2.0362
1411,12915,2.03381
1412,12917,2.03142
1413,12919,2.02903
1414,12921,2.02664
1415,12923.1,2.02426
1416,12925.1,2.02187
1417,12927.1,2.01949
1418,12929.1,2.0171
1419,12931.1,2.01472
1420,12933.2,2.01233
1421,12935.2,2.00995
1422,12937.2,2.00757
1423,12939.2,2.00519
1424,12941.2,2.00281
1425,12943.2,2.00043
1426,12945.2,1.99805
1427,12947.2,1.99567
1428,12949.2,1.99329
1429,12951.2,1.99092
1430,12953.2,1.98854
1431,12955.2,1.98617
1432,12957.1,1.98379
1433,12959.1,1.98142
1434,12961.1,1.97905
1435,12963.1,1.97667
1436,12965.1,1.9743
1437,12967,1.97193
1438,12969,1.96956
1439,12971,1.96719
1440,12972.9,1.96482
1441,12974.9,1.96246
1442,12976.9,1.96009
1443,12978.8,1.95772
1444,12980.8,1.95536
1445,12982.7,1.95299
1446,12984.7,1.95063
1447,12986.6,1.94826
1448,12988.6,1.9459
1449,12990.5,1.94354
1450,12992.5,1.94118
1451,12994.4,1.93882
1452,12996.3,1.93646
1453,12998.3,1.9341
1454,13000.2,1.93174
1455,13002.1,1.92938
1456,13004.1,1.92702
1457,13006,1.92467
1458,13007.9,1.92231
1459,13009.8,1.91996
1460,13011.8,1.9176
1461,13013.7,1.91525
1462,13015.6,1.91289
1463,13017.5,1.91054
1464,13019.4,1.90819
1465,13021.3,1.90584
1466,13023.2,1.90349
1467,13025.1,1.90114
1468,13027,1.89879
1469,13028.9,1.89644
1470,13030.8,1.89409
1471,13032.7,1.89175
1472,13034.6,1.8894
1473,13036.5,1.88706
1474,13038.4,1.88471
1475,13040.3,1.88237
1476,13042.1,1.88002
1477,13044,1.87768
1478,13045.9,1.87534
1479,13047.8,1.873
1480,13049.6,1.87066
1481,13051.5,1.86832
1482,13053.4,1.86598
1483,13055.2,1.86364
1484,13057.1,1.8613
1485,13059,1.85896
1486,13060.8,1.85662
1487,13062.7,1.85429
1488,13064.5,1.85195
1489,13066.4,1.84962
1490,13068.2,1.84728
1491,13070.1,1.84495
1492,13071.9,1.84262
1493,13073.8,1.84029
1494,13075.6,1.83795
1495,13077.4,1.83562
1496,13079.3,1.83329
1497,13081.1,1.83096
1498,13082.9,1.82863
1499,13084.8,1.82631
1500,13086.6,1.82398
1501,13088.4,1.82165
1502,13090.2,1.81933
1503,13092,1.817
1504,13093.9,1.81467
1505,13095.7,1.81235
1506,13097.5,1.81003
1507,13099.3,1.8077
1508,13101.1,1.80538
1509,13102.9,1.80306
1510,13104.7,1.80074
1511,13106.5,1.79842
1512,13108.3,1.7961
1513,13110.1,1.79378
1514,13111.9,1.79146
1515,13113.7,1.78914
1516,13115.5,1.78682
1517,13117.3,1.78451
1518,13119,1.78219
1519,13120.8,1.77988
1520,13122.6,1.77756
1521,13124.4,1.77525
1522,13126.1,1.77293
1523,13127.9,1.77062
1524,13129.7,1.76831
1525,13131.5,1.766
1526,13133.2,1.76369
1527,13135,1.76138
1528,13136.7,1.75907
1529,13138.5,1.75676
1530,13140.3,1.75445
1531,13142,1.75214
1532,13143.8,1.74983
1533,13145.5,1.74753
1534,13147.3,1.74522
1535,13149,1.74291
1536,13150.7,1.74061
1537,13152.5,1.7383
1538,13154.2,1.736
1539,13156,1.7337
1540,13157.7,1.7314
1541,13159.4,1.72909
1542,13161.1,1.72679
1543,13162.9,1.72449
1544,13164.6,1.72219
1545,13166.3,1.71989
1546,13168,1.71759
1547,13169.7,1.71529
1548,13171.5,1.713
1549,13173.2,1.7107
1550,13174.9,1.7084
1551,13176.6,1.70611
1552,13178.3,1.70381
1553,13180,1.70152
1554,13181.7,1.69922
1555,13183.4,1.69693
1556,13185.1,1.69464
1557,13186.8,1.69234
1558,13188.5,1.69005
1559,13190.2,1.68776
1560,13191.9,1.68547
1561,13193.5,1.68318
1562,13195.2,1.68089
1563,13196.9,1.6786
1564,13198.6,1.67631
1565,13200.3,1.67403
1566,13201.9,1.67174
1567,13203.6,1.66945
1568,13205.3,1.66717
1569,13206.9,1.66488
1570,13208.6,1.6626
1571,13210.3,1.66031
1572,13211.9,1.65803
1573,13213.6,1.65575
1574,13215.2,1.65346
1575,13216.9,1.65118
1576,13218.5,1.6489
1577,13220.2,1.64662
1578,13221.8,1.64434
1579,13223.5,1.64206
1580,13225.1,1.63978
1581,13226.7,1.6375
1582,13228.4,1.63522
1583,13230,1.63295
1584,13231.6,1.63067
1585,13233.3,1.62839
1586,13234.9,1.62612
1587,13236.5,1.62384
1588,13238.2,1.62157
1589,13239.8,1.61929
1590,13241.4,1.61702
1591,13243,1.61475
1592,13244.6,1.61248
1593,13246.2,1.6102
1594,13247.8,1.60793
1595,13249.4,1.60566
1596,13251.1,1.60339
1597,13252.7,1.60112
1598,13254.3,1.59885
1599,13255.9,1.59659
1600,13257.4,1.59432
1601,13259,1.59205
1602,13260.6,1.58978
1603,13262.2,1.58752
1604,13263.8,1.58525
1605,13265.4,1.58299
1606,13267,1.58072
1607,13268.6,1.57846
1608,13270.1,1.57619
1609,13271.7,1.57393
1610,13273.3,1.57167
1611,13274.8,1.56941
1612,13276.4,1.56714
1613,13278,1.56488
1614,13279.5,1.56262
1615,13281.1,1.56036
1616,13282.7,1.5581
1617,13284.2,1.55584
1618,13285.8,1.55359
1619,13287.3,1.55133
1620,13288.9,1.54907
1621,13290.4,1.54681
1622,13292,1.54456
1623,13293.5,1.5423
1624,13295.1,1.54005
1625,13296.6,1.53779
1626,13298.1,1.53554
1627,13299.7,1.53329
1628,13301.2,1.53103
1629,13302.7,1.52878
1630,13304.3,1.52653
1631,13305.8,1.52428
1632,13307.3,1.52203
1633,13308.8,1.51978
1634,13310.3,1.51753
1635,13311.9,1.51528
1636,13313.4,1.51303
1637,13314.9,1.51078
1638,13316.4,1.50853
1639,13317.9,1.50628
1640,13319.4,1.50404
1641,13320.9,1.50179
1642,13322.4,1.49954
1643,13323.9,1.4973
1644,13325.4,1.49505
1645,13326.9,1.49281
1646,13328.4,1.49057
1647,13329.9,1.48832
1648,13331.4,1.48608
1649,13332.9,1.48384
1650,13334.3,1.4816
1651,13335.8,1.47935
1652,13337.3,1.47711
1653,13338.8,1.47487
1654,13340.2,1.47263
1655,13341.7,1.47039
1656,13343.2,1.46815
1657,13344.7,1.46592
1658,13346.1,1.46368
1659,13347.6,1.46144
1660,13349,1.4592
1661,13350.5,1.45697
1662,13352,1.45473
1663,13353.4,1.4525
1664,13354.9,1.45026
1665,13356.3,1.44803
1666,13357.8,1.44579
1667,13359.2,1.44356
1668,13360.6,1.44133
1669,13362.1,1.43909
1670,13363.5,1.43686
1671,13365,1.43463
1672,13366.4,1.4324
1673,13367.8,1.43017
1674,13369.3,1.42794
1675,13370.7,1.42571
1676,13372.1,1.42348
1677,13373.5,1.42125
1678,13374.9,1.41902
1679,13376.4,1.41679
1680,13377.8,1.41457
1681,13379.2,1.41234
1682,13380.6,1.41011
1683,13382,1.40789
1684,13383.4,1.40566
1685,13384.8,1.40344
1686,13386.2,1.40121
1687,13387.6,1.39899
1688,13389,1.39677
1689,13390.4,1.39454
1690,13391.8,1.39232
1691,13393.2,1.3901
1692,13394.6,1.38788
1693,13396,1.38566
1694,13397.4,1.38343
1695,13398.7,1.38121
1696,13400.1,1.37899
1697,13401.5,1.37677
1698,13402.9,1.37456
1699,13404.3,1.37234
1700,13405.6,1.37012
1701,13407,1.3679
1702,13408.4,1.36568
1703,13409.7,1.36347
1704,13411.1,1.36125
1705,13412.4,1.35904
1706,13413.8,1.35682
1707,13415.2,1.35461
1708,13416.5,1.35239
1709,13417.9,1.35018
1710,13419.2,1.34796
1711,13420.6,1.34575
1712,13421.9,1.34354
1713,13423.3,1.34133
1714,13424.6,1.33911
1715,13425.9,1.3369
1716,13427.3,1.33469
1717,13428.6,1.33248
1718,13429.9,1.33027
1719,13431.3,1.32806
1720,13432.6,1.32585
1721,13433.9,1.32364
1722,13435.2,1.32144
1723,13436.6,1.31923
1724,13437.9,1.31702
1725,13439.2,1.31481
1726,13440.5,1.31261
1727,13441.8,1.3104
1728,13443.1,1.3082
1729,13444.4,1.30599
1730,13445.7,1.30378
1731,13447,1.30158
1732,13448.3,1.29938
1733,13449.6,1.29717
1734,13450.9,1.29497
1735,13452.2,1.29277
1736,13453.5,1.29056
1737,13454.8,1.28836
1738,13456.1,1.28616
1739,13457.4,1.28396
1740,13458.7,1.28176
1741,13459.9,1.27956
1742,13461.2,1.27736
1743,13462.5,1.27516
1744,13463.8,1.27296
1745,13465,1.27076
1746,13466.3,1.26857
1747,13467.6,1.26637
1748,13468.8,1.26417
1749,13470.1,1.26197
1750,13471.4,1.25978
1751,13472.6,1.25758
1752,13473.9,1.25539
1753,13475.1,1.25319
1754,13476.4,1.251
1755,13477.6,1.2488
1756,13478.9,1.24661
1757,13480.1,1.24441
1758,13481.4,1.24222
1759,13482.6,1.24003
1760,13483.9,1.23784
1761,13485.1,1.23564
1762,13486.3,1.23345
1763,13487.6,1.23126
1764,13488.8,1.22907
1765,13490,1.22688
1766,13491.2,1.22469
1767,13492.5,1.2225
1768,13493.7,1.22031
1769,13494.9,1.21812
1770,13496.1,1.21593
1771,13497.3,1.21375
1772,13498.6,1.21156
1773,13499.8,1.20937
1774,13501,1.20718
1775,13502.2,1.205
1776,13503.4,1.20281
1777,13504.6,1.20063
1778,13505.8,1.19844
1779,13507,1.19626
1780,13508.2,1.19407
1781,13509.4,1.19189
1782,13510.6,1.1897
1783,13511.7,1.18752
1784,13512.9,1.18534
1785,13514.1,1.18316
1786,13515.3,1.18097
1787,13516.5,1.17879
1788,13517.7,1.17661
1789,13518.8,1.17443
1790,13520,1.17225
1791,13521.2,1.17007
1792,13522.3,1.16789
1793,13523.5,1.16571
1794,13524.7,1.16353
1795,13525.8,1.16135
1796,13527,1.15917
1797,13528.2,1.15699
1798,13529.3,1.15482
1799,13530.5,1.15264
1800,13531.6,1.15046
1801,13532.8,1.14829
1802,13533.9,1.14611
1803,13535.1,1.14393
1804,13536.2,1.14176
1805,13537.3,1.13958
1806,13538.5,1.13741
1807,13539.6,1.13523
1808,13540.8,1.13306
1809,13541.9,1.13089
1810,13543,1.12871
1811,13544.1,1.12654
1812,13545.3,1.12437
1813,13546.4,1.1222
1814,13547.5,1.12002
1815,13548.6,1.11785
1816,13549.8,1.11568
1817,13550.9,1.11351
1818,13552,1.11134
1819,13553.1,1.10917
1820,13554.2,1.107
1821,13555.3,1.10483
1822,13556.4,1.10266
1823,13557.5,1.10049
1824,13558.6,1.09833
1825,13559.7,1.09616
1826,13560.8,1.09399
1827,13561.9,1.09182
1828,13563,1.08966
1829,13564.1,1.08749
1830,13565.2,1.08532
1831,13566.2,1.08316
1832,13567.3,1.08099
1833,13568.4,1.07883
1834,13569.5,1.07666
1835,13570.6,1.0745
1836,13571.6,1.07234
1837,13572.7,1.07017
1838,13573.8,1.06801
1839,13574.8,1.06584
1840,13575.9,1.06368
1841,13577,1.06152
1842,13578,1.05936
1843,13579.1,1.0572
1844,13580.1,1.05503
1845,13581.2,1.05287
1846,13582.2,1.05071
1847,13583.3,1.04855
1848,13584.3,1.04639
1849,13585.4,1.04423
1850,13586.4,1.04207
1851,13587.5,1.03991
1852,13588.5,1.03776
1853,13589.5,1.0356
1854,13590.6,1.03344
1855,13591.6,1.03128
1856,13592.6,1.02912
1857,13593.7,1.02697
1858,13594.7,1.02481
1859,13595.7,1.02265
1860,13596.7,1.0205
1861,13597.8,1.01834
1862,13598.8,1.01619
1863,13599.8,1.01403
1864,13600.8,1.01188
1865,13601.8,1.00972
1866,13602.8,1.00757
1867,13603.8,1.00542
1868,13604.8,1.00326
1869,13605.8,1.00111
1870,13606.8,0.998956
1871,13607.8,0.996803
1872,13608.8,0.994651
1873,13609.8,0.992499
1874,13610.8,0.990347
1875,13611.8,0.988196
1876,13612.8,0.986045
1877,13613.8,0.983894
1878,13614.8,0.981744
1879,13615.7,0.979594
1880,13616.7,0.977444
1881,13617.7,0.975295
1882,13618.7,0.973146
1883,13619.6,0.970997
1884,13620.6,0.968848
1885,13621.6,0.9667
1886,13622.5,0.964552
1887,13623.5,0.962405
1888,13624.5,0.960257
1889,13625.4,0.95811
1890,13626.4,0.955964
1891,13627.3,0.953817
1892,13628.3,0.951671
1893,13629.2,0.949526
1894,13630.2,0.94738
1895,13631.1,0.945235
1896,13632.1,0.94309
1897,13633,0.940945
1898,13634,0.938801
1899,13634.9,0.936657
1900,13635.8,0.934513
1901,13636.8,0.93237
1902,13637.7,0.930227
1903,13638.6,0.928084
1904,13639.6,0.925942
1905,13640.5,0.923799
1906,13641.4,0.921657
1907,13642.3,0.919516
1908,13643.3,0.917374
1909,13644.2,0.915233
1910,13645.1,0.913092
1911,13646,0.910952
1912,13646.9,0.908812
1913,13647.8,0.906672
1914,13648.7,0.904532
1915,13649.6,0.902393
1916,13650.5,0.900254
1917,13651.4,0.898115
1918,13652.3,0.895976
1919,13653.2,0.893838
1920,13654.1,0.8917
1921,13655,0.889562
1922,13655.9,0.887425
1923,13656.8,0.885288
1924,13657.7,0.883151
1925,13658.5,0.881014
1926,13659.4,0.878878
1927,13660.3,0.876742
1928,13661.2,0.874606
1929,13662,0.872471
1930,13662.9,0.870336
1931,13663.8,0.868201
1932,13664.7,0.866066
1933,13665.5,0.863932
1934,13666.4,0.861798
1935,13667.2,0.859664
1936,13668.1,0.85753
1937,13669,0.855397
1938,13669.8,0.853264
1939,13670.7,0.851131
1940,13671.5,0.848999
1941,13672.4,0.846866
1942,13673.2,0.844734
1943,13674,0.842603
1944,13674.9,0.840471
1945,13675.7,0.83834
1946,13676.6,0.836209
1947,13677.4,0.834078
1948,13678.2,0.831948
1949,13679.1,0.829818
1950,13679.9,0.827688
1951,13680.7,0.825558
1952,13681.5,0.823429
1953,13682.4,0.8213
1954,13683.2,0.819171
1955,13684,0.817042
1956,13684.8,0.814914
1957,13685.6,0.812786
1958,13686.4,0.810658
1959,13687.3,0.80853
1960,13688.1,0.806403
1961,13688.9,0.804276
1962,13689.7,0.802149
1963,13690.5,0.800022
1964,13691.3,0.797896
1965,13692.1,0.79577
1966,13692.9,0.793644
1967,13693.7,0.791518
1968,13694.4,0.789393
1969,13695.2,0.787268
1970,13696,0.785143
1971,13696.8,0.783018
1972,13697.6,0.780894
1973,13698.4,0.77877
1974,13699.1,0.776646
1975,13699.9,0.774522
1976,13700.7,0.772399
1977,13701.5,0.770276
1978,13702.2,0.768153
1979,13703,0.76603
1980,13703.8,0.763908
1981,13704.5,0.761785
1982,13705.3,0.759663
1983,13706.1,0.757542
1984,13706.8,0.75542
1985,13707.6,0.753299
1986,13708.3,0.751178
1987,13709.1,0.749057
1988,13709.8,0.746936
1989,13710.6,0.744816
1990,13711.3,0.742696
1991,13712,0.740576
1992,13712.8,0.738456
1993,13713.5,0.736337
1994,13714.3,0.734217
1995,13715,0.732098
1996,13715.7,0.72998
1997,13716.4,0.727861
1998,13717.2,0.725743
1999,13717.9,0.723625
2000,13718.6,0.721507
2001,13719.3,0.719389
2002,13720.1,0.717272
2003,13720.8,0.715155
2004,13721.5,0.713038
2005,13722.2,0.710921
2006,13722.9,0.708804
2007,13723.6,0.706688
2008,13724.3,0.704572
2009,13725,0.702456
2010,13725.7,0.70034
2011,13726.4,0.698225
2012,13727.1,0.69611
2013,13727.8,0.693995
2014,13728.5,0.69188
2015,13729.2,0.689765
2016,13729.9,0.687651
2017,13730.6,0.685537
2018,13731.3,0.683423
2019,13731.9,0.681309
2020,13732.6,0.679195
2021,13733.3,0.677082
2022,13734,0.674969
2023,13734.7,0.672856
2024,13735.3,0.670743
2025,13736,0.668631
2026,13736.7,0.666518
2027,13737.3,0.664406
2028,13738,0.662294
2029,13738.7,0.660183
2030,13739.3,0.658071
2031,13740,0.65596
2032,13740.6,0.653849
2033,13741.3,0.651738
2034,13741.9,0.649627
2035,13742.6,0.647517
2036,13743.2,0.645407
2037,13743.9,0.643296
2038,13744.5,0.641187
2039,13745.2,0.639077
2040,13745.8,0.636967
2041,13746.4,0.634858
2042,13747.1,0.632749
2043,13747.7,0.63064
2044,13748.3,0.628531
2045,13748.9,0.626423
2046,13749.6,0.624314
2047,13750.2,0.622206
2048,13750.8,0.620098
2049,13751.4,0.617991
2050,13752.1,0.615883
2051,13752.7,0.613776
2052,13753.3,0.611669
2053,13753.9,0.609561
2054,13754.5,0.607455
2055,13755.1,0.605348
2056,13755.7,0.603242
2057,13756.3,0.601135
2058,13756.9,0.599029
2059,13757.5,0.596923
2060,13758.1,0.594818
2061,13758.7,0.592712
2062,13759.3,0.590607
2063,13759.9,0.588502
2064,13760.5,0.586397
2065,13761.1,0.584292
2066,13761.6,0.582187
2067,13762.2,0.580083
2068,13762.8,0.577978
2069,13763.4,0.575874
2070,13764,0.57377
2071,13764.5,0.571667
2072,13765.1,0.569563
2073,13765.7,0.56746
2074,13766.2,0.565356
2075,13766.8,0.563253
2076,13767.4,0.561151
2077,13767.9,0.559048
2078,13768.5,0.556945
2079,13769,0.554843
2080,13769.6,0.552741
2081,13770.1,0.550639
2082,13770.7,0.548537
2083,13771.2,0.546435
2084,13771.8,0.544334
2085,13772.3,0.542232
2086,13772.9,0.540131
2087,13773.4,0.53803
2088,13773.9,0.535929
2089,13774.5,0.533829
2090,13775,0.531728
2091,13775.5,0.529628
2092,13776.1,0.527527
2093,13776.6,0.525427
2094,13777.1,0.523327
2095,13777.6,0.521228
2096,13778.2,0.519128
2097,13778.7,0.517029
2098,13779.2,0.514929
2099,13779.7,0.51283
2100,13780.2,0.510731
2101,13780.7,0.508633
2102,13781.2,0.506534
2103,13781.7,0.504435
2104,13782.2,0.502337
2105,13782.7,0.500239
2106,13783.2,0.498141
2107,13783.7,0.496043
2108,13784.2,0.493945
2109,13784.7,0.491848
2110,13785.2,0.48975
2111,13785.7,0.487653
2112,13786.2,0.485556
2113,13786.7,0.483459
2114,13787.2,0.481362
2115,13787.6,0.479265
2116,13788.1,0.477169
2117,13788.6,0.475073
2118,13789.1,0.472976
2119,13789.5,0.47088
2120,13790,0.468784
2121,13790.5,0.466688
2122,13790.9,0.464593
2123,13791.4,0.462497
2124,13791.9,0.460402
2125,13792.3,0.458307
2126,13792.8,0.456211
2127,13793.2,0.454116
2128,13793.7,0.452022
2129,13794.1,0.449927
2130,13794.6,0.447832
2131,13795,0.445738
2132,13795.5,0.443644
2133,13795.9,0.44155
2134,13796.4,0.439455
2135,13796.8,0.437362
2136,13797.2,0.435268
2137,13797.7,0.433174
2138,13798.1,0.431081
2139,13798.5,0.428987
2140,13799,0.426894
2141,13799.4,0.424801
2142,13799.8,0.422708
2143,13800.2,0.420615
2144,13800.7,0.418522
2145,13801.1,0.41643
2146,13801.5,0.414337
2147,13801.9,0.412245
2148,13802.3,0.410153
2149,13802.7,0.408061
2150,13803.1,0.405969
2151,13803.5,0.403877
2152,13803.9,0.401785
2153,13804.3,0.399694
2154,13804.7,0.397602
2155,13805.1,0.395511
2156,13805.5,0.39342
2157,13805.9,0.391328
2158,13806.3,0.389237
2159,13806.7,0.387147
2160,13807.1,0.385056
2161,13807.5,0.382965
2162,13807.9,0.380875
2163,13808.2,0.378784
2164,13808.6,0.376694
2165,13809,0.374604
2166,13809.4,0.372514
2167,13809.7,0.370424
2168,13810.1,0.368334
2169,13810.5,0.366244
2170,13810.8,0.364154
2171,13811.2,0.362065
2172,13811.6,0.359976
2173,13811.9,0.357886
2174,13812.3,0.355797
2175,13812.6,0.353708
2176,13813,0.351619
2177,13813.3,0.34953
2178,13813.7,0.347441
2179,13814,0.345353
2180,13814.4,0.343264
2181,13814.7,0.341176
2182,13815.1,0.339087
2183,13815.4,0.336999
2184,13815.7,0.334911
2185,13816.1,0.332823
2186,13816.4,0.330735
2187,13816.7,0.328647
2188,13817.1,0.326559
2189,13817.4,0.324472
2190,13817.7,0.322384
2191,13818,0.320297
2192,13818.3,0.318209
2193,13818.7,0.316122
2194,13819,0.314035
2195,13819.3,0.311948
2196,13819.6,0.309861
2197,13819.9,0.307774
2198,13820.2,0.305687
2199,13820.5,0.303601
2200,13820.8,0.301514
2201,13821.1,0.299428
2202,13821.4,0.297341
2203,13821.7,0.295255
2204,13822,0.293169
2205,13822.3,0.291082
2206,13822.6,0.288996
2207,13822.9,0.28691
2208,13823.2,0.284824
2209,13823.4,0.282739
2210,13823.7,0.280653
2211,13824,0.278567
2212,13824.3,0.276482
2213,13824.6,0.274396
2214,13824.8,0.272311
2215,13825.1,0.270226
2216,13825.4,0.26814
2217,13825.6,0.266055
2218,13825.9,0.26397
2219,13826.2,0.261885
2220,13826.4,0.2598
2221,13826.7,0.257715
2222,13826.9,0.255631
2223,13827.2,0.253546
2224,13827.5,0.251461
2225,13827.7,0.249377
2226,13828,0.247293
2227,13828.2,0.245208
2228,13828.4,0.243124
2229,13828.7,0.24104
2230,13828.9,0.238956
2231,13829.2,0.236871
2232,13829.4,0.234787
2233,13829.6,0.232704
2234,13829.9,0.23062
2235,13830.1,0.228536
2236,13830.3,0.226452
2237,13830.5,0.224368
2238,13830.8,0.222285
2239,13831,0.220201
2240,13831.2,0.218118
2241,13831.4,0.216035
2242,13831.6,0.213951
2243,13831.9,0.211868
2244,13832.1,0.209785
2245,13832.3,0.207702
2246,13832.5,0.205619
2247,13832.7,0.203536
2248,13832.9,0.201453
2249,13833.1,0.19937
2250,13833.3,0.197287
