t,x,y,vx,vy
164,822022,162845,803.683,986.441
165,822826,163832,803.655,986.435
166,823629,164818,803.638,986.432
167,824433,165805,803.632,986.431
168,825237,166791,803.638,986.432
169,826040,167778,803.656,986.435
170,826844,168764,803.684,986.441
171,827648,169750,803.724,986.449
172,828452,170737,803.776,986.46
173,829255,171723,803.839,986.473
174,830059,172710,803.913,986.488
175,830863,173696,803.998,986.506
176,831667,174683,804.094,986.526
177,832472,175669,804.202,986.549
178,833276,176656,804.32,986.574
179,834080,177643,804.45,986.601
180,834885,178629,804.591,986.631
181,835690,179616,804.742,986.664
182,836495,180603,804.905,986.699
183,837300,181589,805.079,986.736
184,838105,182576,805.263,986.776
185,838910,183563,805.459,986.819
186,839716,184550,805.665,986.864
187,840522,185537,805.882,986.911
188,841328,186524,806.11,986.962
189,842134,187511,806.349,987.015
190,842941,188498,806.598,987.07
191,843748,189485,806.858,987.128
192,844555,190472,807.129,987.189
193,845362,191459,807.41,987.253
194,846170,192447,807.702,987.319
195,846978,193434,808.004,987.387
196,847786,194422,808.317,987.459
197,848595,195409,808.641,987.533
198,849404,196397,808.975,987.61
199,850213,197384,809.319,987.69
200,851023,198372,809.674,987.772
201,851833,199360,810.039,987.857
202,852643,200348,810.415,987.945
203,853454,201336,810.801,988.036
204,854265,202324,811.197,988.129
205,855077,203312,811.604,988.226
206,855889,204301,812.02,988.325
207,856702,205289,812.447,988.426
208,857514,206278,812.884,988.531
209,858328,207266,813.331,988.639
210,859142,208255,813.789,988.749
211,859956,209244,814.256,988.863
212,860771,210233,814.734,988.979
213,861586,211222,815.221,989.098
214,862401,212211,815.719,989.22
215,863218,213200,816.226,989.345
216,864034,214190,816.744,989.472
217,864852,215180,817.271,989.603
218,865670,216169,817.808,989.737
219,866488,217159,818.355,989.874
220,867307,218149,818.912,990.013
221,868126,219139,819.479,990.156
222,868946,220130,820.056,990.301
223,869767,221120,820.642,990.45
224,870588,222111,821.238,990.601
225,871410,223101,821.844,990.756
226,872233,224092,822.46,990.913
227,873056,225083,823.085,991.074
228,873879,226075,823.719,991.238
229,874704,227066,824.364,991.404
230,875529,228058,825.018,991.574
231,876354,229049,825.681,991.747
232,877181,230041,826.354,991.923
233,878008,231033,827.037,992.102
234,878835,232026,827.728,992.284
235,879664,233018,828.43,992.469
236,880493,234011,829.141,992.657
237,881323,235004,829.861,992.849
238,882154,235997,830.59,993.043
239,882985,236990,831.329,993.241
240,883817,237983,832.078,993.442
241,884650,238977,832.835,993.646
242,885483,239971,833.602,993.853
243,886318,240965,834.378,994.063
244,887153,241959,835.163,994.277
245,887989,242954,835.958,994.493
246,888826,243948,836.761,994.713
247,889663,244943,837.574,994.936
248,890502,245939,838.396,995.163
249,891341,246934,839.227,995.392
250,892181,247930,840.067,995.625
251,893022,248925,840.916,995.861
252,893864,249922,841.774,996.1
253,894706,250918,842.642,996.342
254,895550,251914,843.518,996.588
255,896394,252911,844.403,996.837
256,897239,253908,845.297,997.089
257,898086,254906,846.2,997.345
258,898933,255903,847.112,997.604
259,899781,256901,848.032,997.866
260,900630,257899,848.962,998.131
261,901480,258898,849.9,998.4
262,902330,259896,850.847,998.672
263,903182,260895,851.803,998.947
264,904035,261895,852.768,999.226
265,904889,262894,853.741,999.508
266,905744,263894,854.723,999.793
267,906599,264894,855.714,1000.08
268,907456,265894,856.713,1000.37
269,908314,266895,857.722,1000.67
270,909172,267896,858.738,1000.97
271,910032,268897,859.763,1001.27
272,910893,269899,860.797,1001.58
273,911755,270901,861.84,1001.88
274,912618,271903,862.891,1002.2
275,913482,272905,863.95,1002.51
276,914347,273908,865.018,1002.83
277,915213,274911,866.094,1003.15
278,916080,275915,867.179,1003.48
279,916948,276919,868.272,1003.81
280,917818,277923,869.374,1004.14
281,918688,278927,870.484,1004.48
282,919560,279932,871.602,1004.82
